@relation javax_xml_transform

@attribute callerFile string
@attribute callerPackage string
@attribute fqCaller string
@attribute fqCalls string

@data
'Activiti.Activiti.BpmnXMLConverter','org.activiti.bpmn.converter','org.activiti.bpmn.converter.BpmnXMLConverter.validateModel(javax.xml.stream.XMLStreamReader)','javax.xml.transform.stax.StAXSource.<init>'
'jenkinsci.jenkins.IconTest','lib.layout','lib.layout.IconTest.toString(com.gargoylesoftware.htmlunit.html.HtmlElement)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.getNodeContent(org.w3c.dom.Node)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform javax.xml.transform.TransformerException.getMessageAndLocation'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.putValuesForXPathInListUsingSaxon(java.lang.String,java.lang.String,java.util.List<java.lang.String>,boolean,int,java.lang.String)','javax.xml.transform.sax.SAXSource.<init>'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.computeAssertionResult(org.apache.jmeter.assertions.AssertionResult,org.w3c.dom.Document,java.lang.String,boolean)','javax.xml.transform.TransformerException.getMessage'
'apache.jmeter.XPathUtil','org.apache.jmeter.util','org.apache.jmeter.util.XPathUtil.formatXml(java.lang.String)','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.Transformer.setOutputProperty javax.xml.transform.sax.SAXSource.<init> javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.Transformer.transform'
'hibernate.hibernate-orm.PersistenceXmlParser','org.hibernate.jpa.boot.internal','org.hibernate.jpa.boot.internal.PersistenceXmlParser.validate(org.w3c.dom.Document)','javax.xml.transform.dom.DOMSource.<init>'
'jenkinsci.jenkins.RunMapTest','hudson.model','hudson.model.RunMapTest.reloadWhileBuildIsInProgress()','javax.xml.transform.stream.StreamSource.<init>'
'jenkinsci.jenkins.AbstractItem','hudson.model','hudson.model.AbstractItem.doConfigDotXml(org.kohsuke.stapler.StaplerRequest,org.kohsuke.stapler.StaplerResponse)','javax.xml.transform.stream.StreamSource.<init>'
'jenkinsci.jenkins.AbstractItem','hudson.model','hudson.model.AbstractItem.updateByXml(javax.xml.transform.Source)','javax.xml.transform.stream.StreamResult.<init>'
'h2oai.h2o-3.XMLTestReporter','water.junit','water.junit.XMLTestReporter.XMLTestReporter()','javax.xml.transform.TransformerFactory.newInstance javax.xml.transform.TransformerFactory.newTransformer javax.xml.transform.Transformer.setOutputProperty'
'h2oai.h2o-3.XMLTestReporter','water.junit','water.junit.XMLTestReporter.finishTestSuite()','javax.xml.transform.stream.StreamResult.<init> javax.xml.transform.dom.DOMSource.<init> javax.xml.transform.Transformer.transform'
